,reviewer_id,product_id,reviewer_name,helpful_vote,total_votes,review_text,rating,summary,unix_review_time,review_time
279591,A18SNZN6Z16NCV,B00806TZ2K,"Amazon Customer ""Myrna""",0,0,"I am very satisfied with this product. I probably could have bought a &#34;store brand&#34; for a little less, but it was worth the few extra pennies to have it delivered. With my Prime membership, I save a lot on gasoline by having my items delivered in two days, and that offsets the slight difference in price.",5.0,"Great Price, Works Fine",1392854400,"02 20, 2014"
22819,A22I670VTEZKUV,B0002I6PZE,"Kristi Brown ""kbb""",0,0,"I specifically purchased this item for my daughters because it was supposed to taste good.  I haven't tasted them but I can tell you that my oldest daughter will taste anything and with vitamins, if it doesn't taste good, she's okay with that and will take them anyway.  So far, I can't get either one of them to take them on a regular basis.I do believe that they're quality made and that if you can get past the taste, they're a quality multi but just never had these problems before - at least with 1 of my daughters - of getting them to take them.",2.0,Supposed to taste good...,1366070400,"04 16, 2013"
76836,A1RWHDWP5Z3O6R,B000Q6UPYE,MS,3,4,I bought this for my husband and he loves it - I definitely recommend it to every guy out there..,5.0,Awesome Shaver,1199664000,"01 7, 2008"
216883,A8T6DPNZ7T0VX,B0044EV0SE,"Reality Based Skeptic ""pwillow1""",0,0,"I had used liquid Charlie's Soap as a household cleaner and was quite impressed, so I decided to give their laundry soap a go.  That household cleaner wasn't a fluke, folks, this Charlie really knows his stuff!  After using Charlie's Soap laundry detergent, I stacked towels in the linen closet and noticed immediately that I could tell which had been washed in the old detergent and which had been washed in Charlie's Soap -- the Charlie's Soap towels were noticeably softer.I use this for everything now:  I reconstitute it with a bit of water and use it as a degreaser in my kitchen and barbeque grill.  I use it in a spray bottle as a prespotter for laundry, and I've used it with my steam cleaner/extractor for my carpets.The only thing that exceeds my happiness with this product is when folks I've recommended it to come back to me and say, ""You were absolutely right about Charlie's Soap -- it's awesome!  Thanks for the recommendation!""",5.0,Awesome detergent,1320019200,"10 31, 2011"
549,A1QUAHJ3P9Z32T,B00004OCL3,Catherine L.,0,0,well designed;easy on hands; effective,5.0,easy on hands,1404950400,"07 10, 2014"
5101,A2T3OSYB87UT5D,B000068PBT,Chappy-Padre,0,0,This product was shipped well and works well.  It is the same Norelco quality you learn to expect when that is your product of choice.  No complaints and no regrets.,5.0,You get what you expect,1402963200,"06 17, 2014"
72674,A3P7RRWULKHB7V,B000O3R2GS,yellowpixels,0,0,Product appears to be great. Was purchased on-line and shipped to another person who was having trouble sourcing them locally.,5.0,Bought on-line for another person,1360972800,"02 16, 2013"
254880,A1E28VUD3RE897,B005NZ66KU,"P. Andres ""abad98eb""",0,0,It was nice while it worked.  This burned out faster than any other heating pad I've had.  It was used daily.,2.0,Burned out,1390348800,"01 22, 2014"
50928,A3SF716LKI8GXB,B000G647Y8,Lban,0,0,"I used this product to shave my head for over a year now.  I'll agree with most the reviews here that it sheds a bit in the beginning.  Mine must have been special since it shed for over 6 months and had suddenly stopped.  I have it 4 stars vs 5 stars because of the prolonged shedding.  I was just about ready to throw it in the trash when it decided to stop.This is my only shave brush so I can't give you a comparison.  What I will say is that I don't like applying shaving cream or any shave lubricator without a brush now.  Feels too messy now that I've been using a brush for so long.I was using shave soap but have since switched to shampoo with my shave brush and I have literally shaved off 15 minutes of my groom time.  Here are a list of my pros and cons of the brush.Pros:Great applicatorKeeps hands clean(er)Ornamental addition to your shave collectionCons:Shedding*Shampoo technique--same as using shaving soap.  I place a small amount in my shaving bowl, foam and apply.  For shaving my head, I leave the bowl not too thick of foam and do the most of the foaming part on my head which keeps the foam wet longer and also exfoliates.  Foaming with shampoo also has the hairs all sink to the bottom so I can rinse my hands or razor without parting the sea of floating gunk.  Furthermore, my razor doesn't clog up as much and rinses out with only 2-3 swishes--no tap required.  Shave soap required 4-5x more plus tapping on sink.",4.0,Shed hair for a while and has since stopped,1368921600,"05 19, 2013"
78333,A2XM1C766VYUAG,B000QYEK88,Charles Roderick,0,0,"I had never used a double edge (DX) razor before although my father and uncles used one. For some reason I was afraid of the DE razor; it looked as if one could cut oneself badly.  I went to YouTube and found a few videos demonstrating &#34;how to&#34; shave using a DE. One video had the instructor shaving a five (5) day old beard, which by the way came off like a hot knife through butter.I summoned my courage and tried the DX razor.  For a moment while shaving for the first time, I thought that the razor did not work; I didn't feel a thing, i.e. there was no &#34;tug or pull&#34; of the DE blade on your facial hair. For a &#34;brief&#34; moment I thought that there wasn't any blade in the Merkur. Wow, I can't describe the feeling of shaving with the Merkur Duty Double Edge razor. It is simply the best shaving appliance that I have ever used!In retrospect I cannot believe that I had been denying myself a great shaving experience all these years.  I don't say this lightly but do yourself a favorite a try &#34;any&#34; double edge razor and see for yourself that it provides the closest and most comfortable shave that you had had.By the way, did I mention that the cost of a DE blade is approximately 15 % of the cost of a Gillette cartridge and gives you twice as many shaves?",5.0,Denying Pleasure to Yourself All these Years,1395100800,"03 18, 2014"
